[2025-07-04 00:48:18] [PERFORMANCE] Performance: page_load (178.11799049377ms) | action: page_load | duration_ms: 178.11799049377 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-04 00:53:17] [PERFORMANCE] Performance: page_load (192.13390350342ms) | action: page_load | duration_ms: 192.13390350342 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-04 00:56:28] [PERFORMANCE] Performance: page_load (180.7689666748ms) | action: page_load | duration_ms: 180.7689666748 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-04 00:56:30] [PERFORMANCE] Performance: page_load (188.06886672974ms) | action: page_load | duration_ms: 188.06886672974 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751590589894_eli15t872
[2025-07-04 00:56:36] [PERFORMANCE] Performance: page_load (164.68596458435ms) | action: page_load | duration_ms: 164.68596458435 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-04 00:56:38] [PERFORMANCE] Performance: page_load (154.87885475159ms) | action: page_load | duration_ms: 154.87885475159 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751590598144_mhivtptqb
[2025-07-04 00:57:09] [PERFORMANCE] Performance: page_load (186.50484085083ms) | action: page_load | duration_ms: 186.50484085083 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-04 00:57:10] [PERFORMANCE] Performance: page_load (185.85586547852ms) | action: page_load | duration_ms: 185.85586547852 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751590630641_cjke4narp
[2025-07-04 00:58:17] [PERFORMANCE] Performance: page_load (186.67697906494ms) | action: page_load | duration_ms: 186.67697906494 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-04 00:59:14] [PERFORMANCE] Performance: page_load (143.06306838989ms) | action: page_load | duration_ms: 143.06306838989 | user_id: 0 | ip: 206.168.34.92 | url: https://zippicks.com/favicon.ico
[2025-07-04 00:59:52] [PERFORMANCE] Performance: page_load (161.28206253052ms) | action: page_load | duration_ms: 161.28206253052 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-04 00:59:53] [PERFORMANCE] Performance: page_load (197.10803031921ms) | action: page_load | duration_ms: 197.10803031921 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751590793407_wuvcgk9s0
[2025-07-04 00:59:54] [PERFORMANCE] Performance: page_load (182.71613121033ms) | action: page_load | duration_ms: 182.71613121033 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
