[2025-06-26 23:03:29] [PERFORMANCE] Performance: page_load (116.51992797852ms) | action: page_load | duration_ms: 116.51992797852 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php
[2025-06-26 23:08:02] [PERFORMANCE] Performance: page_load (73.734045028687ms) | action: page_load | duration_ms: 73.734045028687 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 23:13:02] [PERFORMANCE] Performance: page_load (71.850776672363ms) | action: page_load | duration_ms: 71.850776672363 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 23:18:03] [PERFORMANCE] Performance: page_load (89.647054672241ms) | action: page_load | duration_ms: 89.647054672241 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 23:23:02] [PERFORMANCE] Performance: page_load (74.353933334351ms) | action: page_load | duration_ms: 74.353933334351 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 23:23:51] [PERFORMANCE] Performance: page_load (64.457893371582ms) | action: page_load | duration_ms: 64.457893371582 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/
[2025-06-26 23:23:52] [PERFORMANCE] Performance: page_load (64.248085021973ms) | action: page_load | duration_ms: 64.248085021973 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/
[2025-06-26 23:24:53] [PERFORMANCE] Performance: page_load (45.392036437988ms) | action: page_load | duration_ms: 45.392036437988 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php?redirect_to=https%3A%2F%2Fzippicks.com%2Fwp-admin%2F&reauth=1
[2025-06-26 23:24:55] [PERFORMANCE] Performance: page_load (106.28700256348ms) | action: page_load | duration_ms: 106.28700256348 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php
[2025-06-26 23:28:02] [PERFORMANCE] Performance: page_load (75.383901596069ms) | action: page_load | duration_ms: 75.383901596069 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 23:31:47] [PERFORMANCE] Performance: page_load (66.294193267822ms) | action: page_load | duration_ms: 66.294193267822 | user_id: 0 | ip: 81.167.26.57 | url: https://zippicks.com/business/much-ado-about-pizza/%3C?%3E
[2025-06-26 23:33:02] [PERFORMANCE] Performance: page_load (96.137046813965ms) | action: page_load | duration_ms: 96.137046813965 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 23:38:02] [PERFORMANCE] Performance: page_load (76.673030853271ms) | action: page_load | duration_ms: 76.673030853271 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 23:43:02] [PERFORMANCE] Performance: page_load (75.865983963013ms) | action: page_load | duration_ms: 75.865983963013 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 23:43:21] [PERFORMANCE] Performance: page_load (40.844917297363ms) | action: page_load | duration_ms: 40.844917297363 | user_id: 0 | ip: 198.98.53.3 | url: https://zippicks.com/wp-login.php
[2025-06-26 23:43:21] [PERFORMANCE] Performance: page_load (111.00101470947ms) | action: page_load | duration_ms: 111.00101470947 | user_id: 0 | ip: 198.98.53.3 | url: https://zippicks.com/wp-login.php
[2025-06-26 23:44:51] [PERFORMANCE] Performance: page_load (75.173854827881ms) | action: page_load | duration_ms: 75.173854827881 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/
[2025-06-26 23:45:47] [PERFORMANCE] Performance: page_load (43.004989624023ms) | action: page_load | duration_ms: 43.004989624023 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php?redirect_to=https%3A%2F%2Fzippicks.com%2Fwp-admin%2F&reauth=1
[2025-06-26 23:45:49] [PERFORMANCE] Performance: page_load (107.50603675842ms) | action: page_load | duration_ms: 107.50603675842 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php
[2025-06-26 23:48:02] [PERFORMANCE] Performance: page_load (74.996948242188ms) | action: page_load | duration_ms: 74.996948242188 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 23:53:02] [PERFORMANCE] Performance: page_load (99.742889404297ms) | action: page_load | duration_ms: 99.742889404297 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 23:58:02] [PERFORMANCE] Performance: page_load (88.265895843506ms) | action: page_load | duration_ms: 88.265895843506 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
